,0,1,0,IfcWindow
0,1,1,0,IfcWallStandardCase
1,1,1,0,IfcWallStandardCase
2,1,1,0,IfcWallStandardCase
3,1,0,0,IfcWallStandardCase
4,0,0,1,IfcWallStandardCase
5,0,0,1,IfcWallStandardCase
6,0,0,1,IfcWallStandardCase
7,0,1,1,IfcWallStandardCase
8,0,1,0,IfcWallStandardCase
9,0,1,0,IfcWallStandardCase
10,0,1,0,IfcWallStandardCase
11,0,1,0,IfcWallStandardCase
12,0,1,0,IfcDoor
13,0,1,0,IfcDoor
14,0,1,0,IfcDoor
15,0,1,0,IfcDoor
16,0,1,0,IfcWindow
17,0,1,0,IfcWindow
18,0,1,0,IfcWindow
19,0,1,0,IfcWindow
