,y_true,y_pred
0,0,0
1,6,6
2,0,0
3,1,6
4,6,6
5,7,3
6,6,6
7,5,5
8,0,0
9,5,5
10,0,0
11,6,6
12,6,6
13,0,0
14,6,3
15,5,5
16,6,6
17,6,6
18,6,0
19,6,6
20,6,6
21,0,0
22,0,0
23,1,1
24,1,1
25,6,6
26,6,0
27,5,5
28,6,6
29,0,0
30,5,5
31,6,6
32,6,6
33,2,2
34,3,3
35,6,6
36,6,6
37,6,6
38,6,6
39,0,0
40,0,0
41,3,3
42,1,1
43,6,6
44,6,6
45,0,0
46,0,0
47,0,3
48,6,6
49,5,5
50,5,5
51,0,0
52,1,1
53,0,0
54,6,6
55,5,5
56,3,3
57,5,5
58,0,0
59,0,0
60,1,1
61,6,6
62,0,0
63,6,6
64,0,0
65,5,5
66,6,6
67,6,6
68,3,3
69,0,0
70,4,0
71,6,6
72,6,6
73,0,0
74,0,0
75,0,0
76,6,6
77,2,5
78,5,5
79,5,5
80,6,6
81,5,5
82,6,6
83,0,0
84,1,1
85,5,5
86,3,3
87,0,0
88,0,0
89,3,3
90,1,1
91,6,6
92,6,6
93,6,6
94,5,5
95,5,5
96,1,1
97,6,6
98,3,3
99,3,3
100,6,6
101,0,0
102,0,0
103,0,0
104,6,6
105,6,6
106,0,0
107,6,6
108,6,6
109,0,0
110,5,5
111,1,1
112,3,3
113,0,0
114,6,6
115,2,5
116,0,0
117,6,6
118,6,6
119,6,6
120,5,5
121,1,6
122,6,6
123,6,6
124,3,3
125,6,6
126,0,0
127,5,5
128,0,0
129,5,5
130,0,0
131,0,0
132,0,0
133,0,0
134,3,3
135,5,5
136,6,6
137,1,1
138,2,2
139,6,6
140,3,3
141,3,3
142,6,3
143,5,5
144,5,5
145,6,6
146,5,5
147,6,6
148,6,3
149,5,5
150,6,6
151,6,3
152,0,0
153,0,0
154,5,2
155,3,3
156,3,3
157,0,0
158,6,6
159,3,3
160,0,0
161,6,6
162,0,0
163,0,0
164,0,0
165,6,6
166,6,6
167,5,5
168,6,0
169,0,0
170,6,6
171,1,1
172,3,3
173,0,0
174,0,0
175,5,5
176,6,6
177,6,6
178,1,1
179,1,1
180,0,0
181,6,6
182,6,0
183,5,5
184,1,1
185,1,1
186,1,1
187,6,6
188,5,5
189,1,1
190,3,3
191,3,3
192,6,6
193,0,0
194,0,0
195,0,0
196,3,3
197,6,6
198,0,0
199,5,5
200,1,1
201,0,0
202,6,6
203,0,0
204,6,6
205,3,3
206,6,1
207,3,3
208,0,0
209,6,6
210,6,6
211,0,0
212,3,3
213,0,3
214,5,5
215,1,1
216,0,0
217,0,0
218,6,6
219,6,6
220,1,1
221,1,1
222,3,3
223,0,0
224,3,3
225,6,6
226,3,3
227,0,0
228,6,6
229,0,0
230,0,0
231,4,3
232,6,3
233,3,3
234,6,6
235,6,6
236,3,3
237,0,0
238,0,0
239,5,5
240,1,1
241,4,3
242,3,3
243,6,6
244,0,0
245,0,0
246,3,3
247,0,0
248,0,0
249,6,3
250,6,3
251,5,5
252,6,6
253,6,6
254,5,5
255,1,1
256,0,0
257,0,0
258,0,0
259,5,5
260,6,6
261,3,3
262,1,1
263,6,6
264,0,0
265,1,1
266,5,5
267,0,0
268,6,6
269,1,1
270,6,6
271,5,5
272,5,5
273,1,1
274,0,0
275,6,6
276,3,3
277,0,0
278,2,2
279,6,6
280,0,0
281,6,6
282,5,5
283,6,6
284,6,6
285,5,5
286,0,0
287,0,0
288,3,3
289,0,0
290,0,0
291,6,6
292,1,1
293,0,0
294,6,6
295,0,0
296,3,3
297,5,5
298,3,3
299,0,0
300,5,5
301,0,0
302,6,6
303,0,0
304,1,6
305,6,6
306,5,5
307,0,0
308,6,6
309,0,0
310,1,1
311,6,6
312,6,0
313,0,0
314,4,3
315,6,6
316,1,1
317,0,0
318,6,6
319,0,0
320,5,5
321,5,5
322,5,5
323,5,5
324,1,1
325,0,0
326,6,0
327,0,0
328,6,6
329,0,0
330,6,6
331,0,0
332,0,0
333,6,6
334,3,3
335,0,0
336,5,5
337,6,6
338,0,0
339,5,5
340,6,6
341,3,3
342,6,3
343,0,0
344,0,0
345,0,0
346,6,0
347,6,3
348,3,3
349,5,5
